scenario,run-number,value,final,min,max,mean,ticks
A,34,sum [MDR-infected] of turtles,0,0,0,0,32
A,34,sum [open-area-infected] of turtles,0,0,0,0,32
A,34,sum [road-infected] of turtles,0,0,0,0,32
A,34,sum [forest-edge-infected] of turtles,0,0,0,0,32
A,35,R0-SEI,0,0,0,0,3
A,35,attack-rate,0,0,6.25,3.125,3
A,35,sum [overall-infection] of turtles,0,0,0,0,3
A,35,sum [forest-infected] of turtles,0,0,0,0,3
A,35,sum [HDR-infected] of turtles,0,0,0,0,3
A,35,sum [MDR-infected] of turtles,0,0,0,0,3
A,35,sum [open-area-infected] of turtles,0,0,0,0,3
A,35,sum [road-infected] of turtles,0,0,0,0,3
A,35,sum [forest-edge-infected] of turtles,0,0,0,0,3
A,36,R0-SEI,2.1875,0,4.75,2.707986342,1500
A,36,attack-rate,43.75,0,93.75,67.85476349,1500
A,36,sum [overall-infection] of turtles,410,0,410,196.1152565,1500
A,36,sum [forest-infected] of turtles,208,0,208,108.254497,1500
A,36,sum [HDR-infected] of turtles,7,0,7,2.506329114,1500
A,36,sum [MDR-infected] of turtles,29,0,29,12.10792805,1500
A,36,sum [open-area-infected] of turtles,119,0,119,56.82611592,1500
A,36,sum [road-infected] of turtles,1,0,1,0.171219187,1500
A,36,sum [forest-edge-infected] of turtles,46,0,46,16.24916722,1500
A,37,R0-SEI,2.8125,0,4.3125,2.416763824,1500
A,37,attack-rate,87.5,0,100,66.64307129,1500
A,37,sum [overall-infection] of turtles,427,0,427,201.3237841,1500
A,37,sum [forest-infected] of turtles,205,0,205,94.09793471,1500
A,37,sum [HDR-infected] of turtles,7,0,7,2.351099267,1500
A,37,sum [MDR-infected] of turtles,44,0,44,23.58627582,1500
A,37,sum [open-area-infected] of turtles,128,0,128,56.91872085,1500
A,37,sum [road-infected] of turtles,2,0,2,0.624916722,1500
A,37,sum [forest-edge-infected] of turtles,41,0,41,23.74483678,1500
A,38,R0-SEI,2.625,0,3.9375,2.339107262,1500
A,38,attack-rate,75,0,100,65.80196536,1500
A,38,sum [overall-infection] of turtles,428,0,428,203.7781479,1500
A,38,sum [forest-infected] of turtles,188,0,188,90.33644237,1500
A,38,sum [HDR-infected] of turtles,8,0,8,5.19853431,1500
A,38,sum [MDR-infected] of turtles,46,0,46,19.04796802,1500
A,38,sum [open-area-infected] of turtles,150,0,150,72.76149234,1500
A,38,sum [road-infected] of turtles,0,0,0,0,1500
A,38,sum [forest-edge-infected] of turtles,36,0,36,16.43371086,1500
A,39,R0-SEI,2.75,0,3.625,2.290597935,1500
A,39,attack-rate,87.5,0,93.75,64.86925383,1500
A,39,sum [overall-infection] of turtles,419,0,419,207.1872085,1500
A,39,sum [forest-infected] of turtles,209,0,209,98.34243837,1500
A,39,sum [HDR-infected] of turtles,6,0,6,3.990672885,1500
A,39,sum [MDR-infected] of turtles,23,0,23,9.313124584,1500
A,39,sum [open-area-infected] of turtles,114,0,114,60.32511659,1500
A,39,sum [road-infected] of turtles,3,0,3,1.237841439,1500
A,39,sum [forest-edge-infected] of turtles,64,0,64,33.97801466,1500
A,40,R0-SEI,5.25,0,5.25,2.596144237,1500
A,40,attack-rate,81.25,0,100,68.43770819,1500
A,40,sum [overall-infection] of turtles,417,0,417,203.7415057,1500
A,40,sum [forest-infected] of turtles,206,0,206,107.3770819,1500
A,40,sum [HDR-infected] of turtles,6,0,6,2.612258494,1500
A,40,sum [MDR-infected] of turtles,58,0,58,26.739507,1500
A,40,sum [open-area-infected] of turtles,108,0,108,46.43837442,1500
A,40,sum [road-infected] of turtles,1,0,1,0.271818787,1500
A,40,sum [forest-edge-infected] of turtles,38,0,38,20.30246502,1500
A,41,R0-SEI,3.6875,0,4.9375,3.063999001,1500
A,41,attack-rate,87.5,0,93.75,64.78597602,1500
A,41,sum [overall-infection] of turtles,462,0,462,223.0293138,1500
A,41,sum [forest-infected] of turtles,203,0,203,101.7781479,1500
A,41,sum [HDR-infected] of turtles,6,0,6,2.505662891,1500
A,41,sum [MDR-infected] of turtles,34,0,34,20.34843438,1500
A,41,sum [open-area-infected] of turtles,101,0,101,46.28714191,1500
A,41,sum [road-infected] of turtles,3,0,3,2.068620919,1500
A,41,sum [forest-edge-infected] of turtles,115,0,115,50.0413058,1500
A,42,R0-SEI,2.375,0,4.5,2.750874417,1500
A,42,attack-rate,68.75,0,93.75,61.75466356,1500
A,42,sum [overall-infection] of turtles,495,0,495,244.8614257,1500
A,42,sum [forest-infected] of turtles,242,0,242,117.2871419,1500
A,42,sum [HDR-infected] of turtles,9,0,9,6.09260493,1500
A,42,sum [MDR-infected] of turtles,39,0,39,22.23650899,1500
A,42,sum [open-area-infected] of turtles,137,0,137,64.05129913,1500
A,42,sum [road-infected] of turtles,1,0,1,0.74083944,1500
A,42,sum [forest-edge-infected] of turtles,67,0,67,34.45303131,1500
A,43,R0-SEI,0,0,0,0,2
A,43,attack-rate,0,0,6.25,2.083333333,2
A,43,sum [overall-infection] of turtles,0,0,0,0,2
A,43,sum [forest-infected] of turtles,0,0,0,0,2
A,43,sum [HDR-infected] of turtles,0,0,0,0,2
A,43,sum [MDR-infected] of turtles,0,0,0,0,2
A,43,sum [open-area-infected] of turtles,0,0,0,0,2
A,43,sum [road-infected] of turtles,0,0,0,0,2
A,43,sum [forest-edge-infected] of turtles,0,0,0,0,2
A,44,R0-SEI,2.8125,0,4,2.39977515,1500
A,44,attack-rate,93.75,0,93.75,63.18287808,1500
A,44,sum [overall-infection] of turtles,503,0,503,246.6409061,1500
A,44,sum [forest-infected] of turtles,221,0,221,112.1625583,1500
A,44,sum [HDR-infected] of turtles,7,0,7,3.079946702,1500
